year,month,day,hour,min,sec,ms,id,data
0,0,0,0,3,36,557,0cfff048,000000000e016400
0,0,0,0,3,36,607,0cfff048,000000000e016400
0,0,0,0,3,36,657,0cfff048,000000000e016400
0,0,0,0,3,36,707,0cfff048,000000000e016400
0,0,0,0,3,36,757,0cfff048,000000000e016400
0,0,0,0,3,36,807,0cfff048,000000000e016400
0,0,0,0,3,36,857,0cfff048,000000000e016400
0,0,0,0,3,36,907,0cfff048,000000000e016400
0,0,0,0,3,36,957,0cfff048,000000000e016400
0,0,0,0,3,37,7,0cfff048,000000000e016400
0,0,0,0,3,37,57,0cfff048,000000000e016400
0,0,0,0,3,37,107,0cfff048,000000000e016400
0,0,0,0,3,37,157,0cfff048,000000000e016400
0,0,0,0,3,37,167,0cfff148,be05be05000000ff
0,0,0,0,3,37,207,0cfff048,000000000e016400
0,0,0,0,3,37,217,0cfff148,be05be05000000ff
0,0,0,0,3,37,257,0cfff048,000000000e016400
0,0,0,0,3,37,267,0cfff148,be05be05000000ff
0,0,0,0,3,37,309,0cfff048,000000000e016400
0,0,0,0,3,37,317,0cfff148,be05be05000000ff
0,0,0,0,3,37,357,0cfff048,000000000e016400
0,0,0,0,3,37,367,0cfff148,be05be05000000ff
0,0,0,0,3,37,407,0cfff048,000000000e016400
0,0,0,0,3,37,418,0cfff148,be05be05000000ff
0,0,0,0,3,37,457,0cfff048,000000000e016400
0,0,0,0,3,37,467,0cfff148,be05be05000000ff
0,0,0,0,3,37,507,0cfff048,000000000e016400
0,0,0,0,3,37,517,0cfff148,be05be05000000ff
0,0,0,0,3,37,557,0cfff048,000000000e016400
0,0,0,0,3,37,567,0cfff148,be05be05000000ff
0,0,0,0,3,37,607,0cfff048,000000000e016400
0,0,0,0,3,37,617,0cfff148,be05be05000000ff
0,0,0,0,3,37,657,0cfff048,000000000e016400
0,0,0,0,3,37,667,0cfff148,be05be05000000ff
0,0,0,0,3,37,707,0cfff048,000000000e016400
0,0,0,0,3,37,717,0cfff148,be05be05000000ff
0,0,0,0,3,37,758,0cfff048,000000000e016400
0,0,0,0,3,37,767,0cfff148,be05be05000000ff
0,0,0,0,3,37,777,0cfff248,0400040004000500
0,0,0,0,3,37,807,0cfff048,000000000e016400
0,0,0,0,3,37,817,0cfff148,be05be05000000ff
0,0,0,0,3,37,857,0cfff048,000000000e016400
0,0,0,0,3,37,867,0cfff148,be05be05000000ff
0,0,0,0,3,37,877,0cfff248,0400040004000400
0,0,0,0,3,37,907,0cfff048,000000000e016400
0,0,0,0,3,37,917,0cfff148,be05be05000000ff
0,0,0,0,3,37,958,0cfff048,000000000e016400
0,0,0,0,3,37,967,0cfff148,be05be05000000ff
0,0,0,0,3,37,967,0cfff248,0400040005000400
0,0,0,0,3,38,7,0cfff048,000000000e016400
0,0,0,0,3,38,17,0cfff148,be05be05000000ff
0,0,0,0,3,38,57,0cfff048,000000000e016400
0,0,0,0,3,38,67,0cfff148,be05be05000000ff
0,0,0,0,3,38,77,0cfff248,0400040006000400
0,0,0,0,3,38,108,0cfff048,000000000e016400
0,0,0,0,3,38,117,0cfff148,be05be05000000ff
0,0,0,0,3,38,157,0cfff048,000000000e016400
0,0,0,0,3,38,167,0cfff148,be05be05000000ff
0,0,0,0,3,38,177,0cfff248,0400060006000400
0,0,0,0,3,38,207,0cfff048,000000000e016400
0,0,0,0,3,38,217,0cfff148,be05be05000000ff
0,0,0,0,3,38,257,0cfff048,000000000e016400
0,0,0,0,3,38,267,0cfff148,be05be05000000ff
0,0,0,0,3,38,277,0cfff248,0400040004000500
0,0,0,0,3,38,307,0cfff048,000000000e016400
0,0,0,0,3,38,317,0cfff148,be05be05000000ff
0,0,0,0,3,38,357,0cfff048,000000000e016400
0,0,0,0,3,38,369,0cfff148,be05be05000000ff
0,0,0,0,3,38,377,0cfff248,0400040004000500
0,0,0,0,3,38,387,0cfff348,0400040004001500
0,0,0,0,3,38,407,0cfff048,000000000e016400
0,0,0,0,3,38,417,0cfff148,be05be05000000ff
0,0,0,0,3,38,457,0cfff048,000000000e016400
0,0,0,0,3,38,467,0cfff148,be05be05000000ff
0,0,0,0,3,38,477,0cfff248,0500040004000500
0,0,0,0,3,38,487,0cfff348,0400040004001500
0,0,0,0,3,38,509,0cfff048,000000000e016400
0,0,0,0,3,38,517,0cfff148,be05be05000000ff
0,0,0,0,3,38,557,0cfff048,000000000e016400
0,0,0,0,3,38,567,0cfff148,be05be05000000ff
0,0,0,0,3,38,577,0cfff248,0400040004000400
0,0,0,0,3,38,587,0cfff348,0400040004001500
0,0,0,0,3,38,607,0cfff048,000000000e016400
0,0,0,0,3,38,617,0cfff148,be05be05000000ff
0,0,0,0,3,38,657,0cfff048,000000000e016400
0,0,0,0,3,38,667,0cfff148,be05be05000000ff
0,0,0,0,3,38,677,0cfff248,0400040006000400
0,0,0,0,3,38,687,0cfff348,0400040004001500
0,0,0,0,3,38,707,0cfff048,000000000e016400
0,0,0,0,3,38,717,0cfff148,be05be05000000ff
0,0,0,0,3,38,757,0cfff048,000000000e016400
0,0,0,0,3,38,767,0cfff148,be05be05000000ff
0,0,0,0,3,38,777,0cfff248,0400040006000400
0,0,0,0,3,38,787,0cfff348,0400040004001500
0,0,0,0,3,38,807,0cfff048,000000000e016400
0,0,0,0,3,38,817,0cfff148,be05be05000000ff
0,0,0,0,3,38,857,0cfff048,000000000e016400
